,Тип рынка,Функциональная зона,"Общая площадь,
кв.м","Жилая площадь,
кв.м","Площадь кухни,
кв.м",Год постройки,Тип дома,Класс,Этаж,Этажность,Тип этажа,Количество комнат,Парковка,Материал стен,"Цена предложения,
руб.","Удельная цена, руб./кв.м",Актуальность на дату послед. проверки,Колич.  Просмотр.,Колич.  Просм. в день,"Остановка
м","Парк
м","Центр
км","Станция метро
м","Школа
м","Детский сад
м",Месяц создания,Год создания,Месяц парсинга,Год парсинга,Месяц последней проверки,Год последней проверки
2094,1,1,73.19999694824219,33.099998474121094,12.199999809265137,2010,3,2,8,14.0,2.0,2,1,2,11000000,150273,0,4,0.25,212,1222,4,472,788.0,116.0,3,2022,3,2022,3,2022
2095,1,1,45.0,20.600000381469727,12.699999809265137,2012,3,2,5,16.0,2.0,1,1,3,6700000,148889,0,6,0.33,528,711,5,2848,843.0,414.0,3,2022,3,2022,3,2022
2096,2,1,47.5,30.700000762939453,7.5,1938,1,2,2,5.0,2.0,2,0,1,4700000,98947,0,5,0.4,39,263,12,1139,173.0,155.0,3,2022,3,2022,3,2022
2097,2,8,24.0,11.0,5.5,1917,4,2,1,2.0,1.0,1,0,1,1400000,58333,1,92,0.0,99,513,4,227,356.0,478.0,3,2022,3,2022,9,2022
2098,2,1,56.0,40.70000076293945,5.800000190734863,1965,1,2,5,5.0,3.0,3,0,1,5650000,100893,1,54,0.0,80,487,6,445,100.0,230.0,3,2022,3,2022,9,2022
2099,2,1,60.099998474121094,43.79999923706055,7.099999904632568,1970,2,2,5,9.0,2.0,3,0,2,5700000,94842,0,2,0.0,120,453,14,1755,117.0,380.0,3,2022,3,2022,4,2022
2100,2,1,62.79999923706055,44.400001525878906,7.199999809265137,1970,2,2,5,9.0,2.0,3,0,2,5050000,80414,1,60,0.0,120,453,14,1755,117.0,380.0,3,2022,3,2022,9,2022
2101,1,2,51.400001525878906,20.399999618530273,13.0,2020,3,2,9,14.0,2.0,2,1,3,6500000,126459,0,3,0.33,1252,1458,7,5723,1240.0,1172.0,3,2022,3,2022,5,2022
2102,1,3,55.0,40.0,6.0,1969,1,2,4,5.0,2.0,3,0,1,7100000,129091,0,3,0.33,171,187,1,1095,122.0,122.0,3,2022,3,2022,1,2022
2103,2,1,29.200000762939453,17.5,5.5,1978,2,2,2,9.0,2.0,1,1,1,3300000,113014,0,3,0.0,228,378,11,1619,369.0,308.0,3,2022,3,2022,11,2022
2104,2,1,21.0,12.0,5.0,1979,2,2,6,9.0,2.0,1,1,1,3850000,183333,0,27,0.04,105,239,2,1937,764.0,204.0,3,2022,3,2022,5,2022
2105,1,1,30.399999618530273,18.899999618530273,5.5,1960,1,2,2,3.0,2.0,1,1,1,3920000,128947,0,4,0.25,134,289,4,2402,289.0,105.0,3,2022,3,2022,3,2022
2106,2,6,51.5,36.5,5.800000190734863,1966,1,2,5,5.0,3.0,3,0,1,6200000,120388,1,60,0.02,149,727,3,1037,434.0,562.0,3,2022,3,2022,9,2022
2107,2,1,27.5,12.800000190734863,6.599999904632568,1986,2,2,5,9.0,2.0,1,0,1,3100000,112727,0,2,0.0,281,1004,12,2218,365.0,101.0,3,2022,3,2022,3,2022
2108,2,1,58.900001525878906,46.0,5.5,1968,1,2,2,5.0,2.0,3,1,2,5450000,92530,0,3,0.33,270,811,15,2040,271.0,288.0,3,2022,3,2022,1,2022
2109,2,1,58.0,38.5,9.0,1970,2,2,2,9.0,2.0,3,0,2,5750000,99138,0,2,0.0,406,500,5,800,114.0,95.0,3,2022,3,2022,3,2022
2110,2,1,31.399999618530273,18.200000762939453,6.0,1961,1,2,1,5.0,1.0,1,1,1,3100000,98726,0,29,0.0,62,111,14,584,174.0,258.0,3,2022,3,2022,11,2022
2111,2,1,78.5,49.599998474121094,10.5,1957,1,2,5,5.0,3.0,3,1,1,8500000,108280,0,35,0.0,75,417,13,773,236.0,288.0,3,2022,3,2022,6,2022
2112,2,1,47.29999923706055,29.399999618530273,5.0,1968,1,2,5,5.0,3.0,2,0,1,5580000,117970,0,11,0.64,292,826,8,1562,360.0,163.0,3,2022,3,2022,5,2022
2113,2,1,46.400001525878906,29.399999618530273,5.0,1968,1,2,5,5.0,3.0,2,0,1,6300000,135776,0,4,0.25,292,826,8,1562,360.0,163.0,3,2022,3,2022,3,2022
2114,2,1,69.69999694824219,47.70000076293945,9.199999809265137,1985,2,2,8,9.0,2.0,3,0,1,6500000,93257,0,4,0.5,112,1462,6,670,390.0,274.0,3,2022,3,2022,3,2022
2115,2,1,45.70000076293945,29.0,6.0,1970,2,2,3,6.0,2.0,2,0,1,3949000,86411,0,4,0.5,74,1081,9,2128,341.0,138.0,3,2022,3,2022,4,2022
2116,1,1,48.79999923706055,17.0,12.300000190734863,2010,3,2,9,10.0,2.0,1,1,1,5300000,108607,0,4,0.5,205,1448,6,275,96.0,105.0,3,2022,3,2022,3,2022
2117,2,1,46.599998474121094,20.200000762939453,11.800000190734863,2007,3,2,9,10.0,2.0,1,0,1,4200000,90129,0,28,0.04,301,444,12,5152,541.0,253.0,3,2022,3,2022,5,2022
2118,2,1,63.0,38.5,8.100000381469727,1988,2,2,5,9.0,2.0,3,1,1,7600000,120635,0,23,0.09,326,472,8,4157,659.0,369.0,3,2022,3,2022,4,2022
2119,2,1,47.599998474121094,31.899999618530273,5.900000095367432,1973,1,2,1,5.0,1.0,2,0,2,4700000,98739,0,29,0.07,347,366,10,806,346.0,142.0,3,2022,3,2022,8,2022
2120,1,1,44.5,31.100000381469727,5.599999904632568,1966,1,2,3,5.0,2.0,2,0,2,4000000,89888,0,2,1.0,167,534,14,1690,140.0,192.0,3,2022,3,2022,3,2022
2121,2,8,37.099998474121094,27.5,4.800000190734863,1964,1,2,3,4.0,2.0,2,0,1,3100000,83558,0,24,0.04,100,737,6,1693,737.0,4369.0,3,2022,3,2022,4,2022
2122,2,1,54.70000076293945,29.399999618530273,9.300000190734863,2020,3,2,9,10.0,2.0,2,1,3,6600000,120658,1,55,0.04,93,932,10,3391,316.96604215456676,269.557962529274,3,2022,3,2022,9,2022
2123,2,1,52.29999923706055,28.399999618530273,7.400000095367432,1980,2,2,2,9.0,2.0,2,1,1,4850000,92734,0,16,0.06,261,980,11,3495,153.0,202.0,3,2022,3,2022,5,2022
2124,2,6,50.0,30.0,15.0,2006,3,2,3,17.0,2.0,1,1,1,7100000,142000,0,4,0.5,57,1190,4,254,180.0,173.0,3,2022,3,2022,3,2022
2125,2,1,45.0,30.0,7.5,1985,2,2,3,9.0,2.0,2,0,2,4900000,108889,0,4,0.5,179,544,8,1247,179.0,301.0,3,2022,3,2022,3,2022
2126,2,4,58.599998474121094,41.70000076293945,6.0,1975,1,2,5,5.0,3.0,3,1,1,6600000,112628,0,3,0.33,51,724,2,1509,394.0,144.0,3,2022,3,2022,4,2022
2127,2,1,63.900001525878906,44.79999923706055,7.099999904632568,1975,2,2,7,9.0,2.0,3,0,2,6700000,104851,0,3,0.33,65,207,5,435,425.0,476.0,3,2022,3,2022,4,2022
2128,2,1,65.0,47.20000076293945,6.0,1970,1,2,5,5.0,3.0,3,0,1,6300000,96923,1,47,0.02,320,318,3,517,78.0,207.0,3,2022,3,2022,9,2022
2129,2,1,49.599998474121094,27.700000762939453,8.199999809265137,1987,2,2,4,14.0,2.0,2,0,1,5100000,102823,0,4,0.25,86,326,14,1636,331.0,244.0,3,2022,3,2022,3,2022
2130,2,1,49.599998474121094,27.700000762939453,8.199999809265137,1985,2,2,4,14.0,2.0,2,0,1,5100000,102823,0,2,0.5,86,326,14,1636,331.0,244.0,3,2022,3,2022,3,2022
2131,2,1,59.599998474121094,40.70000076293945,6.099999904632568,1971,1,2,2,5.0,2.0,3,1,1,5399999,90604,0,39,0.03,306,494,9,528,394.0,224.0,3,2022,3,2022,6,2022
2132,1,1,43.70000076293945,19.0,10.600000381469727,2022,3,2,4,10.0,2.0,1,1,3,5250000,120275,0,4,0.5,168,552,5,4980,208.0,440.0,3,2022,3,2022,3,2022
2133,2,1,31.100000381469727,17.399999618530273,6.699999809265137,1973,2,2,1,9.0,1.0,1,1,1,3850000,123794,0,12,0.08,161,323,3,684,251.0,378.0,3,2022,3,2022,4,2022
2134,2,1,82.5,39.20000076293945,7.599999904632568,2006,3,2,5,10.0,2.0,2,1,1,10000000,121212,1,43,0.02,309,1045,5,4539,534.0,566.0,3,2022,3,2022,9,2022
2135,2,1,59.599998474121094,40.70000076293945,6.099999904632568,1971,1,2,2,5.0,2.0,3,1,1,5399999,90604,0,42,0.02,306,494,9,528,394.0,224.0,3,2022,3,2022,6,2022
2136,1,1,52.900001525878906,29.200000762939453,7.699999809265137,1980,2,2,9,9.0,3.0,2,1,1,5400000,102079,0,3,0.33,261,980,11,3495,153.0,202.0,3,2022,3,2022,3,2022
2137,2,1,36.0,24.200000762939453,4.599999904632568,1962,1,2,1,4.0,1.0,2,0,1,3570000,99167,0,4,0.25,206,755,4,1901,551.0,331.0,3,2022,3,2022,3,2022
2138,2,1,60.0,41.79999923706055,6.0,1970,1,2,4,5.0,2.0,3,0,1,5300000,88333,1,61,0.0,104,1207,9,4936,780.0,315.0,3,2022,3,2022,9,2022
2139,2,1,116.5999984741211,64.19999694824219,14.399999618530273,1997,2,2,1,10.0,1.0,4,0,1,10500000,90051,1,62,0.0,289,1197,3,2368,400.0,412.0,3,2022,3,2022,9,2022
2140,2,2,47.0,30.0,7.0,1967,1,2,3,5.0,2.0,2,1,1,5100000,108511,0,3,0.33,207,1679,10,4793,171.0,96.0,3,2022,3,2022,3,2022
2141,2,1,55.900001525878906,38.20000076293945,5.800000190734863,1962,1,2,5,5.0,3.0,3,0,1,4600000,82290,1,57,0.02,46,320,3,363,120.0,784.0,3,2022,3,2022,9,2022
2142,2,1,70.69999694824219,36.70000076293945,20.0,2015,3,2,8,16.0,2.0,2,1,1,13000000,183876,0,4,0.25,309,572,2,985,269.0,98.0,3,2022,3,2022,4,2022
2143,2,1,64.0,39.599998474121094,8.199999809265137,2014,3,2,15,20.0,2.0,3,0,2,8500000,132813,1,64,0.0,474,370,5,398,572.0,183.0,3,2022,3,2022,9,2022
2144,2,1,42.0,16.0,11.5,2010,3,2,7,15.0,2.0,1,1,1,6000000,142857,1,65,0.02,206,218,5,1947,130.0,495.0,3,2022,3,2022,9,2022
2145,2,4,30.200000762939453,16.5,6.599999904632568,1975,1,2,1,5.0,1.0,1,1,1,3500000,115894,0,66,0.0,51,724,2,1509,394.0,144.0,3,2022,3,2022,4,2022
2146,2,6,50.0,30.0,15.0,2006,3,2,3,17.0,2.0,1,1,1,7100000,142000,0,8,0.12,57,1190,4,254,180.0,173.0,3,2022,3,2022,3,2022
2147,2,1,27.0,13.0,7.5,1987,2,2,2,9.0,2.0,1,0,1,2750000,101852,0,4,0.25,453,441,8,1872,351.0,312.0,3,2022,3,2022,3,2022
2148,2,6,58.70000076293945,45.5,5.5,1967,1,2,5,5.0,3.0,3,1,2,5000000,85179,0,34,0.03,110,694,4,3134,146.0,199.0,3,2022,3,2022,8,2022
2149,2,1,43.0,28.0,7.199999809265137,1985,2,2,1,9.0,1.0,2,0,2,5600000,130233,1,64,0.02,181,576,13,1080,342.0,405.0,3,2022,3,2022,9,2022
2150,2,1,47.900001525878906,27.5,7.5,1978,2,2,6,9.0,2.0,2,1,1,5000000,104384,0,31,0.0,128,373,6,4321,270.0,388.0,3,2022,3,2022,6,2022
2151,2,1,50.599998474121094,28.700000762939453,8.5,1946,1,2,3,5.0,2.0,2,0,1,5700000,112648,0,3,0.0,91,464,12,953,98.0,156.0,3,2022,3,2022,3,2022
2152,2,1,20.899999618530273,11.600000381469727,4.699999809265137,1977,2,2,2,9.0,2.0,1,0,1,2800000,133971,1,69,0.0,176,531,10,3226,149.0,57.0,3,2022,3,2022,9,2022
2153,1,3,170.0,90.0,60.0,2009,3,2,5,5.0,3.0,3,1,1,56000000,329412,0,20,0.05,324,190,1,1173,430.0,441.0,3,2022,3,2022,4,2022
2154,2,1,31.700000762939453,20.700000762939453,4.0,1960,1,2,1,3.0,1.0,2,0,1,2950000,93060,1,48,0.02,284,352,4,2230,445.0,116.0,3,2022,3,2022,9,2022
2155,1,5,86.4000015258789,43.400001525878906,19.899999618530273,2022,3,2,6,21.0,2.0,3,1,2,9400000,108796,0,2,0.5,201,2579,7,5837,248.0,368.0,3,2022,3,2022,3,2022
2156,2,6,33.79999923706055,17.200000762939453,10.300000190734863,1974,2,2,9,9.0,3.0,1,1,2,3800000,112426,0,10,0.1,144,943,11,4334,234.0,73.0,3,2022,3,2022,3,2022
2157,2,1,93.30000305175781,56.099998474121094,10.899999618530273,2005,3,2,3,16.0,2.0,4,1,2,13200000,141479,0,2,0.0,404,1030,5,1228,478.0,308.0,3,2022,3,2022,4,2022
2158,2,1,33.0,17.0,8.0,1985,2,2,6,9.0,2.0,1,0,2,4350000,131818,0,3,0.0,161,1019,6,5300,361.0,137.0,3,2022,3,2022,3,2022
2159,1,1,46.79999923706055,19.399999618530273,12.0,2022,3,0,3,4.0,2.0,1,1,3,5996800,128000,0,13,0.0,201,2675,7,5837,248.0,368.0,3,2022,3,2022,4,2022
2160,2,1,45.20000076293945,27.100000381469727,6.300000190734863,1975,2,2,2,9.0,2.0,2,1,1,6400000,141593,0,35,0.03,400,255,3,839,140.0,489.0,3,2022,3,2022,5,2022
2161,1,2,34.0,11.300000190734863,14.0,2022,3,2,2,7.0,2.0,1,1,2,4200000,123529,0,3,0.67,315,1019,7,6274,698.0,738.0,12,2022,3,2022,3,2022
2162,2,2,30.899999618530273,18.899999618530273,5.900000095367432,1963,1,2,3,3.0,3.0,1,0,1,3100000,100324,0,4,0.25,231,1818,13,11760,1347.0,1423.0,12,2022,3,2022,3,2022
2163,2,1,43.0,28.0,7.199999809265137,1985,2,2,1,9.0,1.0,2,0,2,5600000,130233,1,70,0.03,181,576,13,1080,342.0,405.0,12,2022,3,2022,9,2022
2164,2,6,33.0,17.0,10.0,1971,2,2,9,9.0,3.0,1,1,2,3800000,115152,0,4,0.5,102,615,11,4412,306.0,88.0,12,2022,3,2022,3,2022
2165,2,3,79.80000305175781,48.70000076293945,10.0,1954,1,2,5,5.0,3.0,3,1,1,10000000,125313,0,4,0.5,223,182,1,692,292.0,130.0,12,2022,3,2022,3,2022
2166,2,1,30.0,18.0,5.599999904632568,1966,1,2,4,5.0,2.0,1,0,1,4157000,138567,0,5,0.4,438,861,3,3481,545.0,306.0,12,2022,3,2022,3,2022
2167,2,1,43.5,30.0,6.5,1974,1,2,2,5.0,2.0,2,0,2,5000000,114943,0,32,0.06,263,923,7,348,173.0,69.0,12,2022,3,2022,5,2022
2168,2,4,29.0,18.200000762939453,5.900000095367432,1965,1,2,1,5.0,1.0,1,1,1,4150000,143103,0,4,0.5,101,693,3,2656,437.0,281.0,12,2022,3,2022,3,2022
2169,2,1,43.400001525878906,28.200000762939453,6.0,1962,1,2,3,5.0,2.0,2,0,1,4990000,114977,0,3,0.67,226,297,6,4596,397.0,218.0,12,2022,3,2022,3,2022
2170,2,1,51.0,35.0,7.5,1990,2,2,4,9.0,2.0,2,0,2,5350000,104902,1,67,0.03,305,288,7,790,300.0,175.0,12,2022,3,2022,9,2022
2171,2,2,33.599998474121094,16.100000381469727,11.199999809265137,1982,2,2,2,9.0,2.0,1,0,1,2950000,87798,0,3,0.67,195,805,14,7855,505.0,232.0,12,2022,3,2022,3,2022
